"CONFIGURED_PUBLIC_NOTICE_ID","IS_ACTIVE","COURT_ROOM_ID","PUBLIC_NOTICE_ID","LAST_UPDATE_DATE","CREATION_DATE","CREATED_BY","LAST_UPDATED_BY","VERSION"
9522,"0",8130,802,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9523,"0",8130,803,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9524,"0",8130,804,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9525,"0",8130,805,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9526,"0",8130,806,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9527,"0",8130,807,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9528,"0",8130,808,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9529,"0",8130,809,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9530,"0",8130,810,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9531,"0",8131,801,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9532,"0",8131,802,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9533,"0",8131,803,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9534,"0",8131,804,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9535,"0",8131,805,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9536,"0",8131,806,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9537,"0",8131,807,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9538,"0",8131,808,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
